,0
377,소프트헤파롤
378,구로카스
379,까스선수
380,필탈
381,트리달
382,잔틸
383,닥틸
384,하이콜내복
385,사나휘린
386,삼아베이스
387,파파아민
388,덱스타
389,템파골드내복
390,템파
391,금산배
392,카보명수
393,대한중석차질산비스마스
394,카바마인
395,에어신신파스
396,신풍헬비타
397,호모크로민
398,까스파파
399,오잉
400,트리코트
401,가나마이신안
402,치옥탄에스
403,노르마크
404,중외비콤푸렉스
405,디판토내복
406,산토피페라
407,피페라진
408,구연산피페라진
409,벤지론MG
410,안태골박고약
411,인테반
412,알프스디
413,알파활명수
414,판콜에이내복
415,로이고소론
416,씨롱
417,씨롱
418,판퀸
419,판퀸
420,아이다링
421,보령구심
422,파파인
423,네오코푸캅셀
424,티눈스립
425,페롤씨
426,삼용톤
427,고려인삼톤익
428,애파콜
429,애파콜
430,고뿔캅셀
431,원자
432,알세린
433,해로스
434,화신델토론
435,쎌라트말레인산클로르페니라민
436,쎌라트염산피리독
437,위스날젯트
438,시라민
439,헬타스
440,단졸
441,알파
442,경약스코폴리아엑기스
443,주베론캅셀
444,프로헤파룸골드
445,노바킹
446,치오코린캅셀
447,유비타민씨
448,정고려인삼
449,스트라비토
450,암부라이
451,닥티라제
452,니소론
453,피록살
454,피록살
455,후라베린큐
456,후라베린큐
457,날콘펜
458,하이본
459,하이본
460,대웅말레인산클로르페니라민
461,대웅살리실산나트륨
462,대웅카스카라사그라다
463,대웅칼슘비타
464,소아용베비콜킹
465,하이본정FLAWYNAtablet
466,코푸시럽에스
467,카레이손
468,아남아스피린
469,아스콜빈
470,판콜
471,진로피리독
472,보령기응환
473,하이포씨내복
474,동방카스카라사그라다
475,소마돌
476,아네민피
477,도노판
478,프스콩에이취
479,죠코비비
480,지넨엘
481,핑크라민
482,광일안마쓰멘타
483,알지녹스
484,알지녹스
485,내외염산피리독
486,리리핀에스
487,설페마린
488,동인태고
489,베비콜드
490,푸로타민캅셀
491,대일말레인산클로르페니라민
492,아미사린
493,대왕톤익
494,고노삽에스캅셀
495,안타시드
496,정모코약에스
497,한유크레솔비누
498,미치오레이트틴크
499,후레사민
500,테라메톨
501,리버헤비톤
502,비타코린
503,동대말레인산브롬페니라민
504,포반
505,펜토타제
506,현대물파스
507,올마겐
508,아도루겐지이
509,부로볼에이
510,상아바셀린가아제
511,신신피리독
512,마스겐
513,경진탕
514,경약염산피리독
515,경약리보플라빈
516,경약말레인산클로르페니라민
517,바이코민
518,동광판크레아친
519,우담
520,노바킹지
521,동광탕
522,에스명수
523,하이락스
524,바이팍스
525,아로나민골드
526,티라민
527,대웅우루사
528,게므론
529,오로라
530,포라라민
531,헤가톤
532,겐타마이
533,순천당말레인산클로루페니라민
534,파미롱
535,순천당아스코르빈
536,액티피드
537,후리다린
538,토스민
539,솔코헵실
540,건풍애기소화
541,펜피씰린캅셀
542,후리다린
543,토코팔
544,안티멘톨
545,투수크친
546,노루모내복
547,보나링에이
548,두산염산치아민
549,아도홈
550,이리코론엠
551,슬카인
552,파방
553,게루삼코로이드
554,아폴겐
555,베이비핑크라민
556,가미십전대보탕
557,용표녹각대보탕
558,가미귀룡탕
559,대원황산스파르테인
560,히트타임
561,아이후
562,킬링에스
563,한국아세트아미노펜
564,안티타민
565,오로트산에스
566,한국콜드캅셀
567,부이콩
568,청아타제
569,청아타제
570,하이졸
571,안진유황
572,안진아연화
